sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
119	2	0.003712468	0.00271927	1.56E-07	8.09E-07	1.67E-05	0	0.000135134	81.11174487	0.467166983	466.4473352	0.00042661
120	2	0.003835787	0.003810307	2.18E-07	7.87E-07	2.82E-05	0	0.000120802	64.56218608	0.5327943	456.397007	0.000553157
121	2	0.005982184	0.003472535	2.06E-07	6.74E-07	2.19E-05	0	0.000159987	27.37792753	0.338105738	255.07252	0.000177589
122	2	0.003536492	0.002425203	2.39E-07	6.29E-07	1.48E-05	0	0.000110751	87.33233386	0.328952587	350.3855379	0.00032412
123	2	0.004766888	0.002026566	2.40E-07	6.79E-07	1.19E-05	0	0.000161473	59.29458324	0.234078952	241.1572671	1.18E-04
124	2	0.004824231	0.002203339	2.50E-07	7.33E-07	1.59E-05	0	0.000112409	64.0956966	0.397028888	357.8547441	0.00040976
125	2	0.004192976	0.002092703	2.01E-07	9.05E-07	2.26E-05	0	0.000117978	78.15849225	0.52047378	504.5671865	0.000532972
126	2	0.00332345	0.003554481	2.41E-07	8.14E-07	1.22E-05	0	0.000265162	93.06448296	0.211141849	225.5503341	0.000576654
127	2	0.004352391	0.002587946	2.25E-07	6.04E-07	1.10E-05	0	0.000233583	50.34671721	0.151867882	168.2252728	8.54E-05
128	2	0.005413872	0.003052205	2.23E-07	8.83E-07	2.56E-05	0	0.000157595	42.28971346	0.446974657	353.9676905	0.000443338
129	2	0.005770128	0.00311334	1.90E-07	6.25E-07	2.56E-05	0	0.000167517	23.64051706	0.278384847	227.1285311	8.70E-05
130	2	0.005431464	0.003482508	1.60E-07	6.51E-07	2.10E-05	0	0.000197046	26.18378454	0.273955428	227.6195711	0.000123432
131	2	0.006561903	0.003597921	2.23E-07	6.21E-07	1.15E-05	0	0.000117705	35.3961154	0.423860001	287.4050277	0.000108748
132	2	0.006193403	0.003886016	2.18E-07	6.53E-07	2.45E-05	0	0.000122071	27.15335628	0.455635899	310.3727841	0.000201442
133	2	0.003469971	0.003281436	1.83E-07	8.62E-07	2.50E-05	0	0.000216637	66.35757886	0.313995131	323.2915742	0.005619002
134	2	0.005960129	0.002469654	2.23E-07	9.88E-07	2.73E-05	0	0.000117247	47.40976084	0.679100372	497.4464777	2.87E-04
135	2	0.004465746	0.002738398	2.19E-07	8.39E-07	2.58E-05	0	0.000173531	51.17967023	0.340436403	320.2141837	2.24E-04
136	2	0.003824111	0.002173333	2.27E-07	6.82E-07	1.78E-05	0	0.000210356	59.5228761	0.175867218	212.3417815	3.58E-04
137	2	0.003915813	0.003283881	1.98E-07	6.61E-07	2.56E-05	0	0.000120121	52.7140323	0.403625582	370.9787754	0.000274664
138	2	0.004176265	0.002474746	2.03E-07	6.37E-07	1.81E-05	0	0.000120969	56.39642854	0.329679161	324.5246589	0.000170664
139	2	0.003449136	0.003568856	1.79E-07	8.41E-07	2.93E-05	0	0.000186497	63.07434679	0.374787745	366.3615273	0.000553348
140	2	0.005779009	0.003516199	1.93E-07	8.62E-07	1.22E-05	0	0.000286752	39.42237055	0.258065449	212.7494923	9.93E-05
141	2	0.003749843	0.002532358	2.30E-07	7.95E-07	2.54E-05	0	0.000179201	63.75616081	0.277826671	299.260735	0.00025358
142	2	0.004091755	0.002074469	2.17E-07	7.72E-07	1.90E-05	0	0.000221971	58.3721876	0.197056451	231.9070606	5.22E-03
143	2	0.003237613	0.002631623	2.27E-07	8.79E-07	1.25E-05	0	0.00012603	145.725971	0.464232936	490.2645122	0.00067817
144	2	0.003369409	0.002015641	1.92E-07	8.62E-07	2.45E-05	0	0.000206242	78.36803909	0.247748878	313.2959798	2.38E-04
145	2	0.003435272	0.003263533	1.63E-07	6.54E-07	1.20E-05	0	0.000128405	84.14722466	0.376613824	376.8299935	0.000275224
146	2	0.003673005	0.002392498	1.82E-07	7.27E-07	1.44E-05	0	0.000150208	78.85477839	0.309219589	337.2758513	5.74E-04
147	2	0.00657169	0.003406446	2.06E-07	6.74E-07	1.42E-05	0	0.000115469	34.16747668	0.483869314	326.7466863	0.000133888
148	2	0.006655202	0.00341343	2.06E-07	7.25E-07	1.33E-05	0	0.000224499	28.12491364	0.259431878	196.5801109	9.56E-05
149	2	0.006951739	0.002340864	1.76E-07	7.59E-07	1.15E-05	0	0.000236819	29.55820155	0.232920625	196.3930573	4.41E-05
150	2	0.004609553	0.00396567	1.90E-07	8.48E-07	1.31E-05	0	0.000176269	63.36871066	0.430388088	350.3485335	0.000395424
151	2	0.003644536	0.003516225	2.37E-07	7.40E-07	2.37E-05	0	0.00015883	64.9308322	0.334465622	319.7523216	0.000818054
152	2	0.005122517	0.003664847	2.10E-07	7.34E-07	1.60E-05	0	0.000190519	41.36724344	0.306211587	252.1698492	0.000438321
153	2	0.004690583	0.002719213	2.06E-07	8.97E-07	1.85E-05	0	0.000185871	58.02075914	0.356644343	328.8404447	0.000373543
154	2	0.003499491	0.002048868	1.79E-07	7.27E-07	2.31E-05	0	0.000291387	54.36813135	0.137361721	190.8322326	0.000134422
155	2	0.006742923	0.002915773	1.74E-07	9.06E-07	2.52E-05	0	0.00024813	24.70108351	0.325420612	251.4429143	7.62E-05
156	2	0.005974753	0.002211841	2.18E-07	7.85E-07	1.42E-05	0	0.000119704	49.40992389	0.44579339	353.1815559	0.000136486
