Sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff		400	sample	10975	sec	27.4375
162	1	0.003746448	0.002970461	2.34E-07	6.56E-07	2.46E-05	0.213797048	0.000238213	46.58569952	0.305452353	235.2069053	0.001195053						
163	1	0.004955429	0.003942781	1.61E-07	8.97E-07	2.28E-05	0.399449005	0.000218837	40.51886657	0.619016063	361.6922655	0.000790666						
164	1	0.005271411	0.002853009	1.58E-07	7.16E-07	2.12E-05	0.572310344	0.000226667	26.00320621	0.307790905	213.9548995	0.001378818						
165	1	0.006911077	0.002187193	2.16E-07	8.41E-07	1.95E-05	0.390231377	0.000171251	29.66632046	0.544777872	336.1525671	0.000553451						
166	1	0.005684088	0.00391929	1.59E-07	9.19E-07	2.18E-05	0.240451728	0.000282439	31.04767771	0.626526171	350.2782475	0.001047314						
167	1	0.004173179	0.002103176	2.00E-07	9.07E-07	1.57E-05	0.332515857	0.000145072	84.92126147	0.6418624	506.5027509	0.001991662						
168	1	0.004813005	0.003474769	2.01E-07	7.53E-07	2.81E-05	0.451306941	0.000293052	27.92418575	0.279518235	188.1343705	0.000262352						
169	1	0.003528125	0.003236604	1.88E-07	9.96E-07	1.57E-05	0.414082359	0.000241238	93.55347441	0.468167996	350.3270059	0.001133858						
170	1	0.003772844	0.00337887	1.55E-07	6.74E-07	1.09E-05	0.247262098	0.000277008	57.74063732	0.312346148	229.5028157	0.000555791						
171	1	0.004641659	0.002240457	2.07E-07	9.80E-07	1.51E-05	0.339923216	0.000297973	56.88680846	0.346798967	274.1606655	0.001081113						
172	1	0.003834089	0.003331654	2.47E-07	8.49E-07	1.13E-05	0.266500614	0.000174702	103.1598324	0.57988919	396.3575607	0.001836387						
173	1	0.003925112	0.002104417	2.40E-07	9.17E-07	1.75E-05	0.501533823	0.000266411	66.12088625	0.254932493	227.0239751	0.000759291						
174	1	0.005487452	0.002788186	1.86E-07	6.36E-07	1.68E-05	0.384218984	0.000209734	28.13147091	0.32361695	220.3063355	0.000186028						
175	1	0.005581809	0.003027042	2.31E-07	6.39E-07	1.93E-05	0.274868828	0.000217963	27.78275211	0.348540639	225.7146912	0.000313801						
176	1	0.005445321	0.002103884	2.08E-07	9.37E-07	2.00E-05	0.259622833	0.000187805	46.19637493	0.599036283	422.947858	0.001218915						
177	1	0.003113118	0.00351334	2.30E-07	7.17E-07	1.23E-05	0.245079797	0.000175018	111.2108942	0.460249898	342.8687597	0.00211087						
178	1	0.00559315	0.002961608	1.57E-07	9.59E-07	1.99E-05	0.224144892	0.000254261	36.73982441	0.651631761	402.0609211	0.001699109						
179	1	0.00404983	0.003302139	1.63E-07	8.55E-07	1.77E-05	0.461166273	0.00025314	54.27375129	0.384113876	277.0746626	0.000467969						
