Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
714	24	9	0.000750823	0.005737952	1.30E-03	1.26E+05	1.85E+04	2238.517444	569617.1766	161530.7196	43075.01865
715	24	12	0.000874121	0.001931528	1.15E-03	9.31E+03	3.06E+03	1390.816698	51351.45406	32945.55888	28900.7204
716	3.00E+01	6	0.000693833	0.004438161	2.38E-03	2.08E+04	1.89E+03	166.5143664	82704.5821	15690.8365	3621.068399
717	24	9	0.000595186	0.00150222	1.73E-03	3.48E+03	1.15E+03	464.5080391	14415.82188	9631.645315	8578.139239
718	24	12	0.00080583	0.001651094	1.82E-03	4.32E+03	1.67E+03	1005.01435	23252.37881	17139.18425	20097.25624
719	30	6	0.000821532	0.003025245	1.74E-03	1.25E+04	1.45E+03	156.3051589	49390.70788	12079.9367	3371.985732
720	30	6	0.000701556	0.001483741	1.92E-03	2.89E+03	5.06E+02	74.6509522	11499.87163	4412.320424	1597.196228
721	24	6	0.000874304	0.003947674	3.53E-03	2.00E+04	3.24E+03	445.5955103	69152.11033	23843.28381	7983.180838
722	30	9	0.000781472	0.004530256	2.01E-03	3.66E+04	5.05E+03	600.5821792	172194.4149	49378.68845	13881.95055
723	36	9	0.000709666	0.004038857	3.93E-03	1.21E+04	1.66E+03	198.9951023	61917.19955	18431.36678	5300.074344
724	30	6	0.000680658	0.004228463	3.38E-03	1.53E+04	1.58E+03	147.33807	60827.55968	13298.5371	3196.077969
725	30	12	0.000637012	0.003888126	3.31E-03	1.62E+04	3.94E+03	1015.328915	92373.71493	45828.91378	24486.90836
726	36	9	0.000880834	0.005094113	3.13E-03	2.56E+04	2.79E+03	280.0205962	130398.5418	30208.46107	7545.249215
727	30	9	0.000782354	0.004283562	2.93E-03	2.35E+04	3.82E+03	540.7977592	110499.2767	37872.89768	12458.76149
728	36	12	0.000714726	0.002226891	1.95E-03	5.42E+03	1.23E+03	280.2394586	32083.77441	15431.00933	7835.400988
729	30	12	0.000866179	0.004865868	1.74E-03	5.27E+04	9.24E+03	1457.173056	301896.0005	106687.9762	35823.84921
730	24	6	0.000650664	0.004265562	2.68E-03	2.86E+04	3.98E+03	453.6417089	101132.5562	29122.4464	8092.016043
731	36	6	0.000658322	0.001220885	2.38E-03	1.34E+03	2.10E+02	26.99981457	6111.530135	2092.258895	623.9934498
732	36	6	0.000512717	0.005523007	1.01E-03	1.88E+04	1.08E+03	86.0429991	82066.78978	10202.15714	2166.061907
733	24	9	0.000604923	0.004808487	3.95E-03	3.15E+04	7.22E+03	1643.780092	141113.4688	65409.4344	31195.61357
734	2.40E+01	9	0.000599075	0.005359164	2.15E-03	7.07E+04	1.26E+04	1963.280838	326269.902	114750.5286	37687.52445
735	24	12	0.00092135	0.002838205	3.63E-03	8.42E+03	3.11E+03	1710.066165	45724.14657	32215.75881	34116.04238
736	30	9	0.000714439	0.004437879	1.27E-03	4.85E+04	5.82E+03	609.4872952	228494.3877	56044.64723	14096.75486
737	36	6	0.000860189	0.001684172	2.29E-03	2.97E+03	4.06E+02	46.83188111	13476.52764	3916.802341	1122.518248
